"rom","Name","clone of","pinemHi","tomslogic","superhac","nvrams"
ft_p2,"Fish Tales (P-2 Prototype)",ft_l5,x,,,KO!!
ft_p4,"Fish Tales (P-4 Prototype)",ft_l5,x,,,KO!!
ft_p5,"Fish Tales (P-5 LED Ghost Fix)",ft_l5,,,,KO!!
futrquen,"Future Queen",,,,,KO!!
futurspa,"Future Spa",,x,x,,OK
futurspb,"Future Spa (7-digit conversion)",futurspa,x,x,,KO!!
futurwld,"Future World",,,,,KO!!
futurwldf,"Future World (Free Play)",futurwld,,,,KO!!
galaxy,"Galaxy",,,x,,KO!!
galaxyb,"Galaxy (7-digit conversion)",galaxy,,,,KO!!
galaxyc,"Galaxy (7-Digit conversion, Fixes & modified rules)",galaxy,,,,KO!!
galaxyfp,"Galaxy (Free Play)",galaxy,,,,KO!!
galaxyps,"Galaxy (Planet Skillshot)",galaxy,,,,KO!!
gamatron,"Gamatron",flight2k,,,,OK
gamatros,"Gamatron (Sonic)",,,,,KO!!
gamesnsm,"Games, The (NSM)",,,,,KO!!
gemini,"Gemini 2000",,,,,OK
gemini1,"Gemini 2000 (alternate set)",gemini,,,,KO!!
genesffp,"Genesis (French Free Play)",genesis,,x,,KO!!
genesgfp,"Genesis (German Free Play)",genesis,,x,,KO!!
genesifp,"Genesis (Free Play)",genesis,,x,,KO!!
genesis,"Genesis",,x,x,x,OK
genesisf,"Genesis (French)",genesis,,,,KO!!
genesisg,"Genesis (German)",genesis,,,,KO!!
genie,"Genie",,x,,,OK
ggate,"Golden Gate (set 1) (Bingo)",,,,,KO!!
ggatea,"Golden Gate (set 2) (Bingo)",ggate,,,,KO!!
ghv101,"Goofy Hoops (Redemption)",,,,,KO!!
gi_d3,"Gilligan's Island (D-3 LED Ghost Fix)",gi_l9,,,,KO!!
gi_d4,"Gilligan's Island (D-4 LED Ghost Fix)",gi_l9,,,,KO!!
gi_d6,"Gilligan's Island (D-6 LED Ghost Fix)",gi_l9,,,,KO!!
gi_d9,"Gilligan's Island (D-9 LED Ghost Fix)",gi_l9,,x,,KO!!
gi_l3,"Gilligan's Island (L-3)",gi_l9,x,,x,KO!!
gi_l4,"Gilligan's Island (L-4)",gi_l9,x,,,KO!!
gi_l6,"Gilligan's Island (L-6)",gi_l9,x,,,KO!!
gi_l8,"Gilligan's Island (L-8)",gi_l9,,,,KO!!
gi_l9,"Gilligan's Island (L-9)",,x,x,x,OK
gladiatr,"Gladiators",,x,,x,OK
gldneye,"Goldeneye",,x,x,x,OK
gldwgffp,"Gold Wings (French Free Play)",goldwing,,x,,KO!!
gldwggfp,"Gold Wings (German Free Play)",goldwing,,x,,KO!!
gldwingf,"Gold Wings (French)",goldwing,,,,KO!!
gldwingg,"Gold Wings (German)",goldwing,,,,KO!!
glxplay,"Galaxy Play",,,,,KO!!
glxplay2,"Galaxy Play 2",,,,,KO!!
gmine_l2,"Gold Mine (Shuffle) (L-2)",,,x,,OK
gnr_300,"Guns N' Roses (3.00)",,x,x,x,OK
gnr_300d,"Guns N' Roses (3.00 Dutch)",gnr_300,,x,,KO!!
gnr_300f,"Guns N' Roses (3.00 French)",gnr_300,,x,,KO!!
godz_090,"Godzilla (0.90 Prototype)",godzilla,,,,KO!!
godz_100,"Godzilla (1.00)",godzilla,,,,KO!!
godzilla,"Godzilla (2.05)",,x,x,x,OK
goinnuts,"Goin' Nuts",,x,,,OK
goldbalb,"Gold Ball (7-digit conversion)",goldball,x,,,KO!!
goldbalc,"Gold Ball (6/7-digit alternate set rev. 12)",goldball,x,,,OK
goldball,"Gold Ball",,x,x,,KO!!
goldbaln,"Gold Ball (alternate set)",goldball,x,x,,KO!!
goldcue,"Golden Cue (0.04 Prototype)",,x,,x,OK
goldgam2,"Golden Game Kit Bingo Stake 6/10 (Bingo)",goldgame,,,,KO!!
goldgame,"Golden Game (Bingo)",,,,,KO!!
goldgkit1,"Golden Game Kit 1 Generation (Bingo)",goldgame,,,,KO!!
goldgnew,"Golden Game Bingo New (Bingo)",goldgame,,,,KO!!
goldgstake,"Golden Game Bingo Stake 6/10 (Bingo)",goldgame,,,,KO!!
goldwgfp,"Gold Wings (Free Play)",goldwing,,x,,KO!!
goldwing,"Gold Wings",,x,x,x,OK
gork,"Gork",,,,,KO!!
gpr301,"Grand Prix (3.01)",gprix,x,,,KO!!
gpr301f,"Grand Prix (3.01 French)",gprix,x,,,KO!!
gpr301g,"Grand Prix (3.01 German)",gprix,x,,,KO!!
gpr301i,"Grand Prix (3.01 Italian)",gprix,x,,,KO!!
gpr301l,"Grand Prix (3.01 Spanish)",gprix,x,,,KO!!
gpr340,"Grand Prix (3.40)",gprix,x,,,KO!!
gpr340f,"Grand Prix (3.40 French)",gprix,x,,,KO!!
gpr340g,"Grand Prix (3.40 German)",gprix,x,,,KO!!
gpr340i,"Grand Prix (3.40 Italian)",gprix,x,,,KO!!
gpr340l,"Grand Prix (3.40 Spanish)",gprix,x,,,KO!!
gpr350,"Grand Prix (3.50)",gprix,x,,,KO!!
gpr350f,"Grand Prix (3.50 French)",gprix,x,,,KO!!
gpr350g,"Grand Prix (3.50 German)",gprix,x,,,KO!!
gpr350i,"Grand Prix (3.50 Italian)",gprix,x,,,KO!!
gpr350l,"Grand Prix (3.50 Spanish)",gprix,x,,,KO!!
gpr352,"Grand Prix (3.52)",gprix,x,,,KO!!
gpr352f,"Grand Prix (3.52 French)",gprix,x,,,KO!!
gpr352g,"Grand Prix (3.52 German)",gprix,x,,,KO!!
gpr352i,"Grand Prix (3.52 Italian)",gprix,x,,,KO!!
gpr352l,"Grand Prix (3.52 Spanish)",gprix,x,,,KO!!
gpr400,"Grand Prix (4.00)",gprix,x,,,KO!!
gpr400f,"Grand Prix (4.00 French)",gprix,x,,,KO!!
gpr400g,"Grand Prix (4.00 German)",gprix,x,,,KO!!
gpr400i,"Grand Prix (4.00 Italian)",gprix,x,,,KO!!
gpr400l,"Grand Prix (4.00 Spanish)",gprix,x,,,KO!!
gprix,"Grand Prix (4.50)",,x,,,OK
gprixf,"Grand Prix (4.50 French)",gprix,x,,,KO!!
gprixg,"Grand Prix (4.50 German)",gprix,x,,,KO!!
gprixi,"Grand Prix (4.50 Italian)",gprix,x,,,KO!!
gprixl,"Grand Prix (4.50 Spanish)",gprix,x,,,KO!!
grand8,"Grand 8, Le",,,,,KO!!
grand_l1,"Grand Lizard (L-1)",grand_l4,,,,KO!!
grand_l3,"Grand Lizard (L-3)",grand_l4,,,,KO!!
grand_l4,"Grand Lizard (L-4)",,x,x,x,OK
granny,"Granny and the Gators (Video/Pinball Combo)",,x,,x,OK
gransl4a,"Grand Slam (4 Players Free Play)",granslam,x,,,KO!!
gransla4,"Grand Slam (4 Players)",granslam,x,x,,OK
granslaa,"Grand Slam (Free Play)",granslam,x,,,KO!!
granslam,"Grand Slam",,x,,,KO!!
grgar_c1,"Gorgar (C-1 Lane Change MOD)",grgar_l1,,x,,KO!!
grgar_l1,"Gorgar (L-1)",,x,x,,OK
grgar_l1ff,"Gorgar (L-1 Free Play Fix)",grgar_l1,,x,,KO!!
grgar_t1,"Gorgar (T-1 Ted Estes)",grgar_l1,x,x,,KO!!
grgar_t1ff,"Gorgar (T-1 Ted Estes, Free Play Fix)",grgar_l1,,x,,KO!!
gs_la3,"Game Show (LA-3)",gs_lu4,x,x,,OK
gs_lg6,"Game Show (LG-6 German)",gs_lu4,x,,,KO!!
gs_lu3,"Game Show (LU-3 Europe)",gs_lu4,x,,,KO!!
gs_lu4,"Game Show (LU-4 Europe)",,,x,,OK
gunshot,"Gun Shot",,,,,KO!!
gw_d1,"Getaway: High Speed II, The (D-1 LED Ghost Fix)",gw_l5,,,,KO!!
gw_d2,"Getaway: High Speed II, The (D-2 LED Ghost Fix)",gw_l5,,,,KO!!
gw_d3,"Getaway: High Speed II, The (D-3 LED Ghost Fix)",gw_l5,,,,KO!!
gw_d5,"Getaway: High Speed II, The (D-5 LED Ghost Fix)",gw_l5,,x,,KO!!
gw_l1,"Getaway: High Speed II, The (L-1)",gw_l5,x,,,KO!!
gw_l2,"Getaway: High Speed II, The (L-2)",gw_l5,x,,,KO!!
gw_l3,"Getaway: High Speed II, The (L-3)",gw_l5,x,,,KO!!
gw_l5,"Getaway: High Speed II, The (L-5)",,x,x,x,OK
gw_l5c,"Getaway: High Speed II, The (L-5C Competition MOD)",gw_l5,,x,,KO!!
gw_p7,"Getaway: High Speed II, The (P-7 Prototype)",gw_l5,x,,,KO!!
gw_p8,"Getaway: High Speed II, The (P-8 LED Ghost Fix)",gw_l5,,,,KO!!
gw_pb,"Getaway: High Speed II, The (P-B Prototype)",gw_l5,x,,,KO!!
gw_pc,"Getaway: High Speed II, The (P-C Prototype)",gw_l5,x,,,KO!!
gw_pd,"Getaway: High Speed II, The (P-D LED Ghost Fix)",gw_l5,,,,KO!!
gwarfare,"Global Warfare",,,,,KO!!
halley,"Halley Comet",,,,,KO!!
halleya,"Halley Comet (alternate set)",halley,,,,KO!!
halleyb,"Halley Comet (alternate set 2)",halley,,,,KO!!
hangon,"Hang-On",,,,,KO!!
hardbdyd,"Hardbody (rev. D)",hardbody,,,,KO!!
hardbdyg,"Hardbody (German rev. B)",hardbody,x,,,KO!!
hardbody,"Hardbody (rev. C)",,x,,,OK
harl_a10,"Harley-Davidson (Sega, 1.03, Display 1.00)",harl_a13,x,x,,KO!!
harl_a13,"Harley-Davidson (Sega, 1.03, Display 1.04)",,x,x,,KO!!
harl_a18,"Harley-Davidson (Stern, 1.08)",harl_a40,x,x,,KO!!
harl_a30,"Harley-Davidson (Stern, 3.00)",harl_a40,x,x,,OK
harl_a40,"Harley-Davidson (Stern, 4.00)",,x,x,,KO!!
harl_f13,"Harley-Davidson (Sega, 1.03 French)",harl_a13,x,x,,KO!!
harl_f18,"Harley-Davidson (Stern, 1.08 French)",harl_a40,x,x,,KO!!
harl_f30,"Harley-Davidson (Stern, 3.00 French)",harl_a40,x,x,,KO!!
harl_f40,"Harley-Davidson (Stern, 4.00 French)",harl_a40,x,x,,KO!!
harl_g13,"Harley-Davidson (Sega, 1.03 German)",harl_a13,x,x,,KO!!
harl_g18,"Harley-Davidson (Stern, 1.08 German)",harl_a40,x,x,,KO!!
harl_g30,"Harley-Davidson (Stern, 3.00 German)",harl_a40,x,x,,KO!!
harl_g40,"Harley-Davidson (Stern, 4.00 German)",harl_a40,x,x,,KO!!
harl_i13,"Harley-Davidson (Sega, 1.03 Italian)",harl_a13,x,x,,KO!!
harl_i18,"Harley-Davidson (Stern, 1.08 Italian)",harl_a40,x,x,,KO!!
harl_i30,"Harley-Davidson (Stern, 3.00 Italian)",harl_a40,x,x,,KO!!
harl_i40,"Harley-Davidson (Stern, 4.00 Italian)",harl_a40,x,x,,KO!!
harl_l13,"Harley-Davidson (Sega, 1.03 Spanish)",harl_a13,x,x,,KO!!
harl_l18,"Harley-Davidson (Stern, 1.08 Spanish)",harl_a40,x,x,,KO!!
harl_l30,"Harley-Davidson (Stern, 3.00 Spanish)",harl_a40,x,x,,KO!!
harl_l40,"Harley-Davidson (Stern, 4.00 Spanish)",harl_a40,x,x,,KO!!
harl_u13,"Harley-Davidson (Sega, 1.03 English)",harl_a13,x,x,,KO!!
hawkman,"Hawkman",,,,,KO!!
hawkman1,"Hawkman (alternate set)",hawkman,,,,KO!!
hd_d1,"Harley-Davidson (D-1 LED Ghost Fix)",hd_l3,,x,,KO!!
hd_d2,"Harley-Davidson (D-2 LED Ghost Fix)",hd_l3,,x,,KO!!
hd_d3,"Harley-Davidson (D-3 LED Ghost Fix)",hd_l3,,x,,KO!!
hd_l1,"Harley-Davidson (L-1)",hd_l3,x,x,x,KO!!
hd_l2,"Harley-Davidson (L-2)",hd_l3,,x,,KO!!
hd_l3,"Harley-Davidson (L-3)",,x,x,,OK
heartspd,"Hearts & Spades",,,,,KO!!
heavymtl,"Heavy Metal",,,,,KO!!
hercules,"Hercules",,,,,KO!!
hexagone,"L'Hexagone",,,,,KO!!
hglbtrtb,"Harlem Globetrotters (7-digit conversion)",hglbtrtr,x,x,,OK
hglbtrtr,"Harlem Globetrotters",,x,x,,KO!!
hh,"Haunted House (rev. 2)",,x,,x,OK
hh7,"Haunted House (rev. 2, 7-digit conversion)",hh,x,,x,OK
hh_1,"Haunted House (rev. 1)",hh,x,,,KO!!
hh_3,"Haunted House (rev. 3 unofficial MOD)",hh,,,,KO!!
hh_3a,"Haunted House (rev. 3 unofficial MOD, LED)",hh,,,,KO!!
hh_3b,"Haunted House (rev. 3 unofficial MOD, LED+Secret Tunnel)",hh,,,,KO!!
hh_4,"Haunted House (rev. 4 unofficial Votrax speech MOD)",hh,,,,KO!!
hh_4a,"Haunted House (rev. 4 unofficial Votrax speech MOD, LED)",hh,,,,KO!!
hh_4b,"Haunted House (rev. 4 unofficial Votrax speech MOD, LED+Secret Tunnel)",hh,,,,KO!!
hhotel,"Haunted Hotel",,,,,OK
hirol210,"High Roller Casino (2.10)",hirolcas,,,,KO!!
hirol_fr,"High Roller Casino (3.00 French)",hirolcas,x,,,KO!!
hirol_g3,"High Roller Casino (3.00 German)",hirolcas,x,,,KO!!
hirol_gr,"High Roller Casino (2.10 German)",hirolcas,x,,,KO!!
hirol_it,"High Roller Casino (3.00 Italian)",hirolcas,x,,,KO!!
hirolcas,"High Roller Casino (3.00)",,x,,x,OK
hirolcat,"High Roller Casino (3.00 TEST BUILD)",hirolcas,x,,,KO!!
hlywdhfp,"Hollywood Heat (Free Play)",hlywoodh,,x,,KO!!
hlywhffp,"Hollywood Heat (French Free Play)",hlywoodh,,x,,KO!!
hlywhgfp,"Hollywood Heat (German Free Play)",hlywoodh,,x,,KO!!
hlywodhf,"Hollywood Heat (French)",hlywoodh,,,,KO!!
hlywodhg,"Hollywood Heat (German)",hlywoodh,,,,KO!!
hlywoodh,"Hollywood Heat",,x,x,x,OK
hod,"House of Diamonds",,,x,,OK
hodf,"House of Diamonds (Free Play)",hod,,,,KO!!
hoedown,"Hoe Down",,,,,KO!!
hook_400,"Hook (4.01, Display 4.00)",hook_408,,x,,KO!!
hook_401,"Hook (4.01)",hook_408,x,x,,KO!!
hook_401p,"Hook (4.01 with Prototype Sound)",hook_408,x,,,KO!!
hook_404,"Hook (4.04)",hook_408,x,x,,KO!!
hook_408,"Hook (4.08)",,x,x,x,KO!!
hook_500,"Hook (5.00 unofficial MOD)",hook_408,x,x,,KO!!
hook_501,"Hook (5.01 unofficial MOD)",hook_408,x,x,,OK
hook_e406,"Hook (4.06 English)",hook_408,,x,,KO!!
hook_f401,"Hook (4.01, French Display 4.01)",hook_408,,x,,KO!!
hoops,"Hoops",,x,x,x,OK
hotdogga,"Hot Doggin (modified rules rev. 2 Free Play)",hotdoggn,x,x,,KO!!
hotdoggb,"Hot Doggin (7-digit conversion)",hotdoggn,x,x,,OK
hotdoggn,"Hot Doggin",,x,x,,OK
hothand,"Hot Hand",,,x,,OK
hothanfp,"Hot Hand (Free Play)",hothand,,x,,KO!!
hotshffp,"Hot Shots (French Free Play)",hotshots,,x,,KO!!
hotshgfp,"Hot Shots (German Free Play)",hotshots,,x,,KO!!
hotshotf,"Hot Shots (French)",hotshots,,,,KO!!
hotshotg,"Hot Shots (German)",hotshots,,,,KO!!
hotshots,"Hot Shots",,x,x,,OK
hotshtfp,"Hot Shots (Free Play)",hotshots,,x,,KO!!
hotwheel,"Hot Wheels",,,,,KO!!
hotwheelf,"Hot Wheels (Free Play)",hotwheel,,,,KO!!
howzat,"Howzat",,,,,KO!!
hs_l3,"High Speed (L-3)",hs_l4,x,x,,OK
hs_l4,"High Speed (L-4)",,x,x,,OK
hs_l4c,"High Speed (L-4C Competition MOD)",hs_l4,,,,KO!!
hshot_p8,"Hot Shot Basketball (P-8 Prototype)",,,,,KO!!
hshot_p9,"Hot Shot Basketball (P-9 LED Ghost Fix)",hshot_p8,,,,KO!!
httip_l1,"Hot Tip (L-1)",,x,x,,OK
hulk,"Incredible Hulk, The",,x,,,KO!!
hurr_d2,"Hurricane (D-2 LED Ghost Fix)",hurr_l2,,x,,KO!!
hurr_l2,"Hurricane (L-2)",,x,x,x,OK
hustler,"Hustler",,,,,KO!!
hvymetag,"Heavy Metal Meltdown (German)",hvymetal,,,,KO!!
hvymetal,"Heavy Metal Meltdown",,x,,x,OK
hypbl_l2,"HyperBall (L-2)",hypbl_l4,,,,KO!!
hypbl_l3,"HyperBall (L-3)",hypbl_l4,,,,KO!!
hypbl_l4,"HyperBall (L-4)",,,,,KO!!
hypbl_l5,"HyperBall (L-5 MOD High score save)",hypbl_l4,,,,KO!!
hypbl_l6,"HyperBall (L-6 MOD High score save)",hypbl_l4,,x,,OK
i500_10r,"Indianapolis 500 (1.0R)",i500_11r,,,,KO!!
i500_11b,"Indianapolis 500 (1.1 Belgian)",i500_11r,x,,,KO!!
i500_11r,"Indianapolis 500 (1.1R)",,x,x,x,OK
icecold,"Ice Cold Beer",,,,,KO!!
icecoldf,"Ice Cold Beer (Free Play)",icecold,,,,KO!!
icefever,"Ice Fever",,x,,,OK
icemania,"Ice Mania",,,,,KO!!
id4,"ID4: Independence Day (2.02)",,x,x,x,OK
id4_201,"ID4: Independence Day (2.01)",id4,,,,KO!!
id4_201f,"ID4: Independence Day (2.01 French)",id4,,,,KO!!
id4f,"ID4: Independence Day (2.02 French)",id4,,x,,KO!!
ij4_113,"Indiana Jones (V1.13)",ij4_210,,,,KO!!
ij4_113f,"Indiana Jones (V1.13 French)",ij4_210,,,,KO!!
ij4_113g,"Indiana Jones (V1.13 German)",ij4_210,,,,KO!!
ij4_113i,"Indiana Jones (V1.13 Italian)",ij4_210,,,,KO!!
ij4_113l,"Indiana Jones (V1.13 Spanish)",ij4_210,,,,KO!!
ij4_114,"Indiana Jones (V1.14)",ij4_210,,,,KO!!
ij4_114f,"Indiana Jones (V1.14 French)",ij4_210,,,,KO!!
ij4_114g,"Indiana Jones (V1.14 German)",ij4_210,,,,KO!!
ij4_114i,"Indiana Jones (V1.14 Italian)",ij4_210,,,,KO!!
ij4_114l,"Indiana Jones (V1.14 Spanish)",ij4_210,,,,KO!!
ij4_116,"Indiana Jones (V1.16)",ij4_210,,,,KO!!
ij4_116f,"Indiana Jones (V1.16 French)",ij4_210,,,,KO!!
ij4_116g,"Indiana Jones (V1.16 German)",ij4_210,,,,KO!!
ij4_116i,"Indiana Jones (V1.16 Italian)",ij4_210,,,,KO!!
ij4_116l,"Indiana Jones (V1.16 Spanish)",ij4_210,,,,KO!!
ij4_210,"Indiana Jones (V2.1)",,x,,x,OK
ij4_210f,"Indiana Jones (V2.1 French)",ij4_210,x,,,KO!!
ij_d3,"Indiana Jones: The Pinball Adventure (D-3 LED Ghost Fix)",ij_l7,,,,KO!!
ij_d4,"Indiana Jones: The Pinball Adventure (D-4 LED Ghost Fix)",ij_l7,,,,KO!!
ij_d5,"Indiana Jones: The Pinball Adventure (D-5 LED Ghost Fix)",ij_l7,,,,KO!!
ij_d6,"Indiana Jones: The Pinball Adventure (D-6 LED Ghost Fix)",ij_l7,,,,KO!!
ij_d7,"Indiana Jones: The Pinball Adventure (D-7 LED Ghost Fix)",ij_l7,,x,,KO!!
ij_dg7,"Indiana Jones: The Pinball Adventure (DG-7 LED Ghost Fix)",ij_l7,,,,KO!!
ij_h1,"Indiana Jones: The Pinball Adventure (HK-1 No Hate Speech)",ij_l7,x,,,KO!!
ij_i1,"Indiana Jones: The Pinball Adventure (I-1 No Hate Speech LED Ghost Fix)",ij_l7,,,,KO!!
ij_l3,"Indiana Jones: The Pinball Adventure (L-3)",ij_l7,x,,,KO!!
ij_l4,"Indiana Jones: The Pinball Adventure (L-4)",ij_l7,x,,,KO!!
ij_l5,"Indiana Jones: The Pinball Adventure (L-5)",ij_l7,x,,,KO!!
ij_l6,"Indiana Jones: The Pinball Adventure (L-6)",ij_l7,x,,,KO!!
ij_l7,"Indiana Jones: The Pinball Adventure (L-7)",,x,x,x,OK
ij_lg7,"Indiana Jones: The Pinball Adventure (LG-7 German)",ij_l7,x,,,KO!!
ij_p2,"Indiana Jones: The Pinball Adventure (P-2 Prototype)",ij_l7,,,,KO!!
im_100,"Iron Man (V1.0)",im_186ve,,,,KO!!
im_110,"Iron Man (V1.1)",im_186ve,,,,KO!!
im_120,"Iron Man (V1.2)",im_186ve,,,,KO!!
im_140,"Iron Man (V1.4)",im_186ve,x,,,KO!!
im_160,"Iron Man (V1.6)",im_186ve,x,,,KO!!
im_181,"Iron Man (V1.81)",im_186ve,x,,,KO!!
im_182,"Iron Man (V1.82)",im_186ve,x,,,KO!!
im_183,"Iron Man (V1.83)",im_186ve,x,,,KO!!
im_183ve,"Iron Man Vault Edition (V1.83)",im_186ve,x,,,OK
im_185,"Iron Man (V1.85)",im_186ve,x,,x,KO!!
im_185ve,"Iron Man Vault Edition (V1.85)",im_186ve,x,,,OK
im_186,"Iron Man (V1.86)",im_186ve,x,,,KO!!
im_186ve,"Iron Man Vault Edition (V1.86)",,x,,,OK
ind250cc,"250 c.c.",,,,,OK
iomoon,"Io Moon",,,,,KO!!
ironball,"Iron Balls",,,,,KO!!
ironmafp,"Iron Maiden (Free Play)",ironmaid,x,,,KO!!
ironmaid,"Iron Maiden",,x,x,,OK
jack2opn,"Jacks to Open",,x,,,OK
jamesb,"James Bond (Timed Play)",,x,,,OK
jamesb2,"James Bond (3/5-Ball)",jamesb,x,,,KO!!
jamesb7,"James Bond (Timed Play, 7-digit conversion)",jamesb,x,,,KO!!
jamesb7b,"James Bond (3/5-Ball, 7-digit conversion)",jamesb,x,,,KO!!
jb_04a,"Jack*Bot (0.4A Prototype)",jb_10r,,,,KO!!
jb_101b,"Jack*Bot (1.01B Belgian/Canadian LED Ghost Fix)",jb_10r,,,,KO!!
jb_101r,"Jack*Bot (1.01R LED Ghost Fix)",jb_10r,,x,,KO!!
jb_10b,"Jack*Bot (1.0B Belgian/Canadian)",jb_10r,x,,,KO!!
jb_10r,"Jack*Bot (1.0R)",,x,x,x,OK
jd_d1,"Judge Dredd (D-1 LED Ghost Fix)",jd_l7,,x,,KO!!
jd_d4,"Judge Dredd (D-4 LED Ghost Fix)",jd_l7,,x,,KO!!
jd_d5,"Judge Dredd (D-5 LED Ghost Fix)",jd_l7,,x,,KO!!
jd_d6,"Judge Dredd (D-6 LED Ghost Fix)",jd_l7,,x,,KO!!
jd_d7,"Judge Dredd (D-7 LED Ghost Fix)",jd_l7,,x,,KO!!
jd_l1,"Judge Dredd (L-1)",jd_l7,x,x,,OK
jd_l1at,"Judge Dredd (L-1AT MOD)",jd_l7,,,,KO!!
jd_l1d,"Judge Dredd (L-1D MOD)",jd_l7,,,,KO!!
jd_l4,"Judge Dredd (L-4)",jd_l7,x,x,,KO!!
jd_l5,"Judge Dredd (L-5)",jd_l7,x,x,,KO!!
jd_l6,"Judge Dredd (L-6)",jd_l7,x,x,,KO!!
jd_l7,"Judge Dredd (L-7)",,x,x,x,OK
jm_05r,"Johnny Mnemonic (0.5R Prototype)",jm_12r,x,,,KO!!
jm_12b,"Johnny Mnemonic (1.2B Belgian)",jm_12r,x,,,KO!!
jm_12r,"Johnny Mnemonic (1.2R)",,x,x,x,OK
jngld_l1,"Jungle Lord (L-1)",jngld_l2,,,,KO!!
jngld_l2,"Jungle Lord (L-2)",,x,x,,OK
jngld_nt,"Jungle Lord (New Tricks)",jngld_l2,,,,KO!!
jngld_ntl2,"Jungle Lord (New Tricks L-2)",jngld_l2,,,,KO!!
jngld_ntl2b,"Jungle Lord (New Tricks L-2beta)",jngld_l2,,,,KO!!
jngld_ntl3,"Jungle Lord (New Tricks L-3beta)",jngld_l2,,,,KO!!
jokrpokr,"Joker Poker",,x,,,OK
jokrz_g4,"Jokerz (G-4 German)",jokrz_l6,,,,KO!!
jokrz_l3,"Jokerz (L-3)",jokrz_l6,x,,,KO!!
jokrz_l6,"Jokerz (L-6)",,x,x,x,OK
jolypark,"Jolly Park",,,,,OK
jpapillon,"Papillon (Jeutel)",,,,,KO!!
jpinball,"Pin Ball",,,,,KO!!
jplstw20,"Lost World: Jurassic Park, The (2.00)",jplstw22,x,x,,KO!!
jplstw22,"Lost World: Jurassic Park, The (2.02)",,x,x,x,OK
jst_l1,"Joust (L-1)",jst_l2,,,,KO!!
jst_l2,"Joust (L-2)",,x,x,,OK
jupk_305,"Jurassic Park (3.05)",jupk_513,,x,,KO!!
jupk_307,"Jurassic Park (3.07)",jupk_513,,x,,KO!!
jupk_501,"Jurassic Park (5.01)",jupk_513,x,x,,KO!!
jupk_513,"Jurassic Park (5.13)",,x,x,x,OK
jupk_600,"Jurassic Park (6.00 unofficial MOD)",jupk_513,x,x,,OK
jupk_g51,"Jurassic Park (5.01 German)",jupk_513,x,x,,KO!!
jy_03,"Junk Yard (0.3 Prototype)",jy_12,x,,,KO!!
jy_11,"Junk Yard (1.1)",jy_12,x,,,KO!!
jy_12,"Junk Yard (1.2)",,x,x,x,OK
jy_12c,"Junk Yard (1.2C Competition MOD)",jy_12,,x,,KO!!
kidnap,"Kidnap",,,,,KO!!
kiko_a10,"King Kong (1.0)",,x,,x,OK
kingt_l1,"King Tut (Shuffle) (L-1)",,,,,KO!!
kiss,"Kiss",,x,x,,KO!!
kissb,"Kiss (7-digit conversion rev. 20)",kiss,x,x,,OK
kissc,"Kiss (Free Play rev. 3)",kiss,x,x,,OK
kissd,"Kiss (/10 Scoring Free Play rev. 4)",kiss,x,x,,KO!!
kisse,"Kiss (7-digit conversion rev. 30)",kiss,,x,,KO!!
kissf,"Kiss (/10 Scoring Free Play rev. 5)",kiss,,x,,KO!!
kissp,"Kiss (Prototype)",kiss,,,,KO!!
kissp2,"Kiss (Prototype v.2)",kiss,,,,KO!!
kkongltd,"King Kong (LTD)",,,,,KO!!
kosteel,"Kings of Steel",,x,x,,OK
kosteela,"Kings of Steel (Free Play)",kosteel,x,x,,KO!!
kpb105,"Kingpin (Beta 1.05)",,x,,,OK
krull,"Krull",,x,,,OK
kz26,"KZ-26",,,,,KO!!
ladyluck,"Lady Luck",,x,,,OK
ladylukt,"Lady Luck (Taito)",,,,,KO!!
ladyshot,"Lady Sharpshooter",,,,,KO!!
lah_107,"Last Action Hero (1.07)",lah_112,x,,,KO!!
lah_110,"Last Action Hero (1.10)",lah_112,x,x,,KO!!
lah_112,"Last Action Hero (1.12)",,x,x,x,KO!!
lah_113,"Last Action Hero (1.13 unofficial MOD)",lah_112,x,x,,OK
lah_c106,"Last Action Hero (1.06 Canadian)",lah_112,x,,,KO!!
lah_f104,"Last Action Hero (1.04 French)",lah_112,x,,,KO!!
lah_l104,"Last Action Hero (1.04 Spanish)",lah_112,x,,,KO!!
lah_l108,"Last Action Hero (1.08 Spanish, Display 1.04)",lah_112,x,,,KO!!
lah_l108_105,"Last Action Hero (1.08 Spanish, Display 1.05)",lah_112,,,,KO!!
lancelot,"Sir Lancelot",,,,,KO!!
lapbylap,"Lap By Lap",,,,,KO!!
lapbylfp,"Lap By Lap (Free Play)",lapbylap,,,,KO!!
larana,"La Rana",,,,,KO!!
larana2,"La Rana (alternate set)",larana,,,,KO!!
lastlap,"Last Lap",,,,,KO!!
lazrlord,"Lazer Lord (Prototype)",,x,,,KO!!
lc_11,"League Champ (1.1)",,,,,KO!!
lca,"Lights, Camera, Action",,x,x,x,OK
lca2,"Lights, Camera, Action (rev. 2)",lca,x,x,,OK
lckydraa,"Lucky Draw (alternate version)",lckydraw,,,,KO!!
lckydraw,"Lucky Draw",,,,,KO!!
ldyshot2,"Lady Sharpshooter (alternate set)",ladyshot,,,,KO!!
lectrofp,"Lectronamo (Free Play)",lectrono,x,x,,KO!!
lectrono,"Lectronamo",,x,x,,OK
leking,"Le King",,,,,KO!!
lightnfp,"Lightning (Free Play)",lightnin,x,,,KO!!
